canonical_name,display_name,category,subcategory,aliases
angular,Angular,frontend_frameworks,javascript,angularjs|angular 2+|angular framework|angular typescript|angular 17
svelte,Svelte,frontend_frameworks,javascript,svelte js|sveltejs|svelte framework|svelte 4|svelte 5|sveltekit
nextjs,Next.js,frontend_frameworks,javascript,next.js|nextjs|next js|next react|next.js framework|next 14|next 15
nuxtjs,Nuxt.js,frontend_frameworks,javascript,nuxt|nuxt.js|nuxtjs|nuxt vue|nuxt 3|nuxt framework
gatsby,Gatsby,frontend_frameworks,javascript,gatsby js|gatsbyjs|gatsby react|gatsby static
remix,Remix,frontend_frameworks,javascript,remix.run|remix react|remix framework|remix.js
astro,Astro,frontend_frameworks,javascript,astro.build|astro framework|astro js|astro islands
solidjs,SolidJS,frontend_frameworks,javascript,solid js|solid.js|solidjs framework|solidstart
preact,Preact,frontend_frameworks,javascript,preact js|preact.js|preact react
alpinejs,Alpine.js,frontend_frameworks,javascript,alpine|alpine js|alpinejs framework
emberjs,Ember.js,frontend_frameworks,javascript,ember|ember.js|emberjs framework
jquery,jQuery,frontend_frameworks,javascript,jquery.js|jquery library|jq|jquery javascript
qwik,Qwik,frontend_frameworks,javascript,qwik.js|qwik framework|builder.io qwik
html,HTML,frontend_technologies,markup,html5|html 5|hypertext markup language|html language|html markup
css,CSS,frontend_technologies,styling,css3|css 3|cascading stylesheets|stylesheet|css language
tailwindcss,Tailwind CSS,frontend_technologies,styling,tailwind|tailwind css|tailwind utility|tailwindcss framework
bootstrap,Bootstrap,frontend_technologies,styling,bootstrap css|bootstrap framework|twitter bootstrap|bootstrap 5
material_ui,Material UI,frontend_technologies,styling,mui|material-ui|material design ui|react material|materialui|mui react
chakra_ui,Chakra UI,frontend_technologies,styling,chakra ui|chakra|react chakra|chakra react
shadcn,shadcn/ui,frontend_technologies,styling,shadcn ui|shadcn components|radix ui|shadcn/ui
sass,Sass/SCSS,frontend_technologies,styling,scss|sass css|sass preprocessor|css preprocessor|sass/scss
less,Less,frontend_technologies,styling,less css|less preprocessor|less styling
styled_components,Styled Components,frontend_technologies,styling,styled components|css-in-js|emotion|styled jsx
webpack,Webpack,frontend_technologies,build_tools,webpack.js|webpack bundler|webpack config|webpack 5
vite,Vite,frontend_technologies,build_tools,vite.js|vite bundler|vitejs|vite build tool
parcel,Parcel,frontend_technologies,build_tools,parcel.js|parcel bundler
rollup,Rollup,frontend_technologies,build_tools,rollup.js|rollup bundler|rollup.js bundler
babel,Babel,frontend_technologies,transpilers,babel.js|babel transpiler|babeljs
eslint,ESLint,frontend_technologies,linting,eslint js|es lint|javascript linting|eslint config
prettier,Prettier,frontend_technologies,formatting,prettier.js|code formatter|prettier formatting
storybook,Storybook,frontend_technologies,ui_testing,storybook.js|component storybook|storybook ui
webassembly,WebAssembly,frontend_technologies,runtime,wasm|web assembly|webassembly runtime
pwa,Progressive Web Apps,frontend_technologies,architecture,pwa|progressive web app|service workers|offline web
react_native,React Native,mobile_development,cross_platform,rn|react-native|react native mobile|react native framework
flutter,Flutter,mobile_development,cross_platform,flutter dart|flutter mobile|flutter framework|flutter sdk
ionic,Ionic,mobile_development,cross_platform,ionic framework|ionic angular|ionic react|ionic vue
xamarin,Xamarin,mobile_development,cross_platform,xamarin forms|xamarin native|microsoft xamarin|xamarin android ios
expo,Expo,mobile_development,cross_platform,expo go|expo sdk|expo react native|expo cli
swiftui,SwiftUI,mobile_development,ios,swift ui|swiftui framework|ios swiftui|apple swiftui
uikit,UIKit,mobile_development,ios,uikit ios|ios uikit|apple uikit|uikit framework
jetpack_compose,Jetpack Compose,mobile_development,android,compose|jetpack compose android|android compose|compose ui
android_sdk,Android SDK,mobile_development,android,android development|android platform|android programming|android api
capacitor,Capacitor,mobile_development,cross_platform,capacitorjs|ionic capacitor|capacitor plugin
nativescript,NativeScript,mobile_development,cross_platform,native script|nativescript framework
android_studio,Android Studio,mobile_development,android,android ide|android studio ide|android development tool
xcode,Xcode,mobile_development,ios,xcode ide|apple xcode|ios xcode|macos xcode
cordova,Cordova,mobile_development,cross_platform,apache cordova|phonegap|cordova mobile
postgresql,PostgreSQL,databases_relational,rdbms,postgres|pg|psql|postgresql database|postgre sql|postgres db
mysql,MySQL,databases_relational,rdbms,mysql database|mysql server|mysql db|mysql 8
sqlite,SQLite,databases_relational,rdbms,sqlite database|sqlite3|sql lite|sqlite db
mariadb,MariaDB,databases_relational,rdbms,maria db|mariadb database|mariadb server
oracle_db,Oracle Database,databases_relational,rdbms,oracle|oracle db|oracle rdbms|oracle sql|oracle 19c
sql_server,SQL Server,databases_relational,rdbms,mssql|microsoft sql server|sql server database|ms sql|sqlserver
cockroachdb,CockroachDB,databases_relational,distributed,cockroach db|cockroachdb database|distributed sql cockroach
timescaledb,TimescaleDB,databases_relational,time_series,timescale|timescale database|time series sql|timescale db
duckdb,DuckDB,databases_relational,analytics,duck db|duckdb analytics|duckdb olap|duckdb in-process
redshift,Amazon Redshift,databases_relational,cloud,aws redshift|redshift dw|amazon redshift|redshift warehouse
planetscale,PlanetScale,databases_relational,cloud,planet scale|planetscale database|mysql planetscale
db2,IBM Db2,databases_relational,enterprise,ibm db2|db2 database|ibm database|db2 sql
neon,Neon,databases_relational,cloud,neon postgres|neon database|neon serverless|neon db
mongodb,MongoDB,databases_nosql,document,mongo|mongodb database|mongo db|mongodb atlas|mongo atlas
redis,Redis,databases_nosql,cache,redis cache|redis server|redis database|redis db|redis in-memory|redis cluster
cassandra,Apache Cassandra,databases_nosql,wide_column,cassandra database|apache cassandra|cassandra db|cassandra noSQL
dynamodb,DynamoDB,databases_nosql,key_value,dynamo db|aws dynamodb|amazon dynamodb|dynamodb aws
firebase,Firebase,databases_nosql,document,firebase realtime|firebase database|firebase firestore|firestore|google firebase
couchdb,CouchDB,databases_nosql,document,couch db|apache couchdb|couchdb database
neo4j,Neo4j,databases_nosql,graph,neo4j database|graph database|neo4j graph|cypher neo4j
influxdb,InfluxDB,databases_nosql,time_series,influx db|influxdb database|time series influx|influxdb 2
elasticsearch,Elasticsearch,databases_nosql,search,elastic search|elastic|elasticsearch engine|es cluster|elastic search engine
opensearch,OpenSearch,databases_nosql,search,open search|amazon opensearch|aws opensearch|opensearch cluster
couchbase,Couchbase,databases_nosql,document,couch base|couchbase database|couchbase server
hbase,HBase,databases_nosql,wide_column,apache hbase|hadoop hbase|hbase database
memcached,Memcached,databases_nosql,cache,memcache|memcached cache|memcached server
arangodb,ArangoDB,databases_nosql,multi_model,arango db|arangodb database|arango graph
supabase,Supabase,databases_nosql,cloud,supabase postgres|supabase db|supabase platform
upstash,Upstash,databases_nosql,cloud,upstash redis|upstash kafka|upstash serverless
pgvector,pgvector,databases_vector,postgres_extension,pg vector|postgres vector|postgresql vector|vector extension postgres|pgvector extension
pinecone,Pinecone,databases_vector,managed,pinecone vector|pinecone db|pinecone.io|pinecone index
weaviate,Weaviate,databases_vector,open_source,weaviate database|weaviate vector|weaviate search
chroma,Chroma,databases_vector,open_source,chromadb|chroma db|chroma vector|chromadb python|chroma vector store
qdrant,Qdrant,databases_vector,open_source,qdrant vector|qdrant database|qdrant search|qdrant engine
milvus,Milvus,databases_vector,open_source,milvus vector|milvus database|zilliz milvus|zilliz cloud
faiss,FAISS,databases_vector,library,facebook faiss|faiss library|fb faiss|vector search faiss|faiss index
lancedb,LanceDB,databases_vector,open_source,lance db|lancedb vector|lancedb database
vespa,Vespa,databases_vector,open_source,vespa engine|vespa ai|vespa search|vespa vector
aws,Amazon Web Services,cloud_platforms,general,aws cloud|amazon aws|amazon cloud|aws platform|amazon cloud services
google_cloud,Google Cloud Platform,cloud_platforms,general,gcp|google cloud|gcp cloud|gcloud|google cloud platform
azure,Microsoft Azure,cloud_platforms,general,microsoft azure|azure cloud|azure platform|ms azure|azure services
digitalocean,DigitalOcean,cloud_platforms,general,digital ocean|do cloud|digitalocean cloud|digitalocean droplets
cloudflare,Cloudflare,cloud_platforms,edge,cloudflare cdn|cloudflare cloud|cloudflare workers|cloudflare pages
heroku,Heroku,cloud_platforms,paas,heroku platform|heroku paas|heroku deploy|heroku dyno
render,Render,cloud_platforms,paas,render.com|render platform|render paas|render web service
vercel,Vercel,cloud_platforms,paas,vercel platform|vercel deploy|vercel hosting|vercel serverless
netlify,Netlify,cloud_platforms,paas,netlify platform|netlify hosting|netlify deploy|netlify functions
flyio,Fly.io,cloud_platforms,paas,fly.io|fly io|flyio platform|fly machines
railway,Railway,cloud_platforms,paas,railway.app|railway platform|railway deploy|railway cloud
aws_ec2,Amazon EC2,cloud_aws,compute,ec2|aws ec2|elastic compute cloud|amazon ec2|ec2 instances
aws_s3,Amazon S3,cloud_aws,storage,s3|aws s3|simple storage service|s3 bucket|amazon s3|s3 object storage
aws_rds,Amazon RDS,cloud_aws,database,rds|aws rds|relational database service|amazon rds|rds postgres|rds mysql
aws_lambda,AWS Lambda,cloud_aws,serverless,lambda|aws lambda|serverless lambda|lambda function|lambda handler
aws_ecs,Amazon ECS,cloud_aws,containers,ecs|aws ecs|elastic container service|amazon ecs|ecs fargate
aws_eks,Amazon EKS,cloud_aws,containers,eks|aws eks|elastic kubernetes service|amazon eks|eks cluster
aws_cloudformation,AWS CloudFormation,cloud_aws,iac,cloudformation|aws cloudformation|cfn|cloud formation|cfn template
aws_cloudwatch,AWS CloudWatch,cloud_aws,monitoring,cloudwatch|aws cloudwatch|amazon cloudwatch|cloudwatch logs|cloudwatch metrics
aws_sqs,Amazon SQS,cloud_aws,messaging,sqs|aws sqs|simple queue service|amazon sqs|sqs queue
aws_sns,Amazon SNS,cloud_aws,messaging,sns|aws sns|simple notification service|amazon sns|sns topic
aws_api_gateway,AWS API Gateway,cloud_aws,api,api gateway aws|aws api gateway|amazon api gateway|apigw
aws_cognito,AWS Cognito,cloud_aws,auth,cognito|aws cognito|amazon cognito|cognito user pool
aws_iam,AWS IAM,cloud_aws,security,iam|aws iam|identity access management|amazon iam|iam policies|iam roles
aws_cloudfront,AWS CloudFront,cloud_aws,cdn,cloudfront|aws cloudfront|amazon cloudfront|cloudfront distribution
aws_glue,AWS Glue,cloud_aws,data,aws glue|amazon glue|glue etl|glue catalog|glue crawler
aws_athena,Amazon Athena,cloud_aws,analytics,athena|aws athena|amazon athena|athena sql
aws_sagemaker,Amazon SageMaker,cloud_aws,ml,sagemaker|aws sagemaker|amazon sagemaker|sage maker|sagemaker studio
aws_bedrock,Amazon Bedrock,cloud_aws,ai,bedrock|aws bedrock|amazon bedrock|bedrock claude|bedrock titan
aws_emr,Amazon EMR,cloud_aws,data,emr|aws emr|elastic mapreduce|amazon emr|emr spark
aws_kinesis,Amazon Kinesis,cloud_aws,streaming,kinesis|aws kinesis|amazon kinesis|kinesis streams|kinesis data streams
aws_step_functions,AWS Step Functions,cloud_aws,orchestration,step functions|aws step functions|state machine aws|sfn
aws_secrets_manager,AWS Secrets Manager,cloud_aws,security,secrets manager|aws secrets|aws secrets manager|parameter store
gcp_gke,Google Kubernetes Engine,cloud_gcp,containers,gke|google gke|google kubernetes engine|gke cluster
gcp_cloud_run,Cloud Run,cloud_gcp,serverless,cloud run|gcp cloud run|google cloud run|cloud run service
gcp_cloud_functions,Cloud Functions,cloud_gcp,serverless,cloud functions|gcp functions|google cloud functions|gcf
gcp_bigquery,BigQuery,cloud_gcp,analytics,big query|gcp bigquery|google bigquery|bigquery sql|bq
gcp_cloud_storage,Cloud Storage,cloud_gcp,storage,gcs|google cloud storage|gcp storage|cloud storage bucket|gcs bucket
gcp_cloud_sql,Cloud SQL,cloud_gcp,database,cloud sql|gcp cloud sql|google cloud sql|cloud sql postgres
gcp_pubsub,Google Pub/Sub,cloud_gcp,messaging,pub sub|google pub sub|gcp pub/sub|google pubsub|pubsub topics
gcp_dataflow,Dataflow,cloud_gcp,data,google dataflow|gcp dataflow|apache beam dataflow|dataflow pipeline
gcp_vertex_ai,Vertex AI,cloud_gcp,ml,vertex ai|gcp vertex|google vertex ai|vertex|vertex ai studio
gcp_cloud_build,Cloud Build,cloud_gcp,cicd,cloud build|gcp build|google cloud build|cloud build trigger
gcp_compute_engine,Compute Engine,cloud_gcp,compute,gce|google compute engine|gcp compute|compute engine vm
gcp_app_engine,App Engine,cloud_gcp,paas,google app engine|gcp app engine|gae|app engine standard
gcp_artifact_registry,Artifact Registry,cloud_gcp,registry,artifact registry gcp|google artifact registry|container registry gcp
gcp_spanner,Cloud Spanner,cloud_gcp,database,google spanner|cloud spanner|google cloud spanner|spanner db
gcp_bigTable,Cloud Bigtable,cloud_gcp,database,bigtable|google bigtable|cloud bigtable|bigtable database
azure_functions,Azure Functions,cloud_azure,serverless,azure functions serverless|azure function app|azure serverless
azure_blob_storage,Azure Blob Storage,cloud_azure,storage,azure blob|azure storage|azure blob container|azure storage account
azure_sql,Azure SQL Database,cloud_azure,database,azure sql db|azure sql server|azure sql managed instance
azure_cosmosdb,Azure Cosmos DB,cloud_azure,database,cosmos db|azure cosmos|cosmosdb|cosmos db azure
azure_aks,Azure AKS,cloud_azure,containers,aks|azure kubernetes|azure container service|aks cluster
azure_app_service,Azure App Service,cloud_azure,paas,azure web app|azure app service paas|azure web apps
azure_devops,Azure DevOps,cloud_azure,cicd,azure devops pipelines|vsts|tfs|team foundation server|azure ci cd
azure_ad,Azure Active Directory,cloud_azure,auth,azure ad|aad|entra id|microsoft entra|azure identity|azure sso
azure_ml,Azure Machine Learning,cloud_azure,ml,azure machine learning|azure ml service|aml|azure ml studio
azure_event_hub,Azure Event Hub,cloud_azure,messaging,event hub|azure event hub|eventhub|azure event streaming
azure_service_bus,Azure Service Bus,cloud_azure,messaging,service bus|azure service bus|asb|azure messaging
azure_monitor,Azure Monitor,cloud_azure,monitoring,azure monitoring|azure log analytics|log analytics workspace
azure_container_registry,Azure Container Registry,cloud_azure,registry,acr|azure acr|azure container registry
azure_api_management,Azure API Management,cloud_azure,api,apim|azure api management|azure apim|api management azure
docker,Docker,containers_orchestration,containers,docker container|docker engine|docker ce|docker community edition|docker desktop|docker enterprise edition|docker ee|dockerfile|docker hub|docker image|docker build
kubernetes,Kubernetes,containers_orchestration,orchestration,k8s|kube|kubernetes orchestration|kubectl|k8s cluster|kube cluster
docker_compose,Docker Compose,containers_orchestration,containers,docker-compose|compose|docker compose yaml|compose file
helm,Helm,containers_orchestration,package_manager,helm charts|helm kubernetes|helm chart|helm release|helm values
podman,Podman,containers_orchestration,containers,podman container|podman engine|pod manager|podman machine
containerd,containerd,containers_orchestration,containers,container-d|containerd runtime|containerd daemon
docker_swarm,Docker Swarm,containers_orchestration,orchestration,swarm mode|docker swarm cluster|swarm services
openshift,OpenShift,containers_orchestration,orchestration,red hat openshift|openshift kubernetes|ocp|okd|openshift platform
rancher,Rancher,containers_orchestration,orchestration,rancher kubernetes|rancher platform|suse rancher|rancher k3s
k3s,K3s,containers_orchestration,orchestration,lightweight kubernetes|k3s kubernetes|k3 kubernetes|k3s cluster
istio,Istio,containers_orchestration,service_mesh,istio service mesh|istio proxy|envoy istio|service mesh istio
linkerd,Linkerd,containers_orchestration,service_mesh,linkerd service mesh|linkerd proxy|linkerd2
github_actions,GitHub Actions,cicd_tools,automation,gh actions|github workflows|github ci cd|github action workflow|gha
jenkins,Jenkins,cicd_tools,automation,jenkins ci|jenkins pipeline|jenkins server|jenkins build|jenkins groovy
gitlab_ci,GitLab CI/CD,cicd_tools,automation,gitlab ci|gitlab cd|gitlabci|gitlab pipeline|gitlab runner|gitlab yaml
circleci,CircleCI,cicd_tools,automation,circle ci|circle.ci|circleci pipeline|circleci orbs
travis_ci,Travis CI,cicd_tools,automation,travis.ci|travis build|travis-ci|travis yaml
argocd,ArgoCD,cicd_tools,gitops,argo cd|argo-cd|argocd gitops|argo rollouts|argocd sync
flux,Flux CD,cicd_tools,gitops,fluxcd|flux gitops|flux cd|weave flux|flux v2
tekton,Tekton,cicd_tools,automation,tekton pipelines|tekton ci|tekton cd|tekton tasks
buildkite,Buildkite,cicd_tools,automation,buildkite pipeline|buildkite ci|buildkite agents
azure_pipelines,Azure Pipelines,cicd_tools,automation,azure ci cd|azure build pipeline|azure devops pipeline|azure yaml pipeline
bitbucket_pipelines,Bitbucket Pipelines,cicd_tools,automation,bitbucket ci|bitbucket pipeline|atlassian bitbucket ci
drone_ci,Drone CI,cicd_tools,automation,drone.io|drone build|drone pipeline|drone server
spinnaker,Spinnaker,cicd_tools,deployment,spinnaker cd|continuous delivery spinnaker|spinnaker pipeline
teamcity,TeamCity,cicd_tools,automation,team city|jetbrains teamcity|teamcity build|teamcity pipeline
concourse,Concourse CI,cicd_tools,automation,concourse.ci|concourse pipeline|concourse ci cd
terraform,Terraform,infrastructure_as_code,provisioning,terraform iac|hashicorp terraform|terraform cloud|terraform modules|hcl terraform|tfvars|tfstate
pulumi,Pulumi,infrastructure_as_code,provisioning,pulumi iac|pulumi cloud|pulumi python|pulumi typescript
ansible,Ansible,infrastructure_as_code,configuration_management,ansible playbook|red hat ansible|ansible automation|ansible tower|ansible galaxy
chef,Chef,infrastructure_as_code,configuration_management,chef infra|chef cookbooks|opscode chef|chef inspec
puppet,Puppet,infrastructure_as_code,configuration_management,puppet enterprise|puppet labs|puppet agent|puppet modules
aws_cdk,AWS CDK,infrastructure_as_code,provisioning,cdk|cloud development kit|aws cloud development kit|cdk typescript|cdk python
bicep,Bicep,infrastructure_as_code,provisioning,azure bicep|bicep template|arm bicep|bicep iac
crossplane,Crossplane,infrastructure_as_code,kubernetes_native,crossplane kubernetes|crossplane iac|crossplane providers
saltstack,SaltStack,infrastructure_as_code,configuration_management,salt|saltstack configuration|salt project|salt states
vagrant,Vagrant,infrastructure_as_code,development,vagrant box|hashicorp vagrant|vagrant vm|vagrantfile
prometheus,Prometheus,monitoring_observability,metrics,prometheus monitoring|prom|prometheus server|promql|prometheus metrics
grafana,Grafana,monitoring_observability,visualization,grafana dashboard|grafana monitoring|grafana cloud|grafana panels
datadog,Datadog,monitoring_observability,apm,datadog monitoring|dd trace|datadog apm|datadog metrics|datadog logs
new_relic,New Relic,monitoring_observability,apm,newrelic|new relic apm|new relic observability|nr|newrelic one
sentry,Sentry,monitoring_observability,error_tracking,sentry.io|sentry error|sentry monitoring|sentry sdk
jaeger,Jaeger,monitoring_observability,tracing,jaeger tracing|jaeger distributed|uber jaeger|jaeger ui
zipkin,Zipkin,monitoring_observability,tracing,zipkin tracing|twitter zipkin|zipkin server|zipkin ui
opentelemetry,OpenTelemetry,monitoring_observability,standard,otel|open telemetry|opentelemetry sdk|otlp|otel collector
elk_stack,ELK Stack,monitoring_observability,log_management,elk|elasticsearch logstash kibana|elastic stack|efk stack
loki,Loki,monitoring_observability,log_management,grafana loki|loki logging|loki log aggregation|loki promtail
honeycomb,Honeycomb,monitoring_observability,observability,honeycomb.io|honeycomb observability|honeycomb tracing
pagerduty,PagerDuty,monitoring_observability,alerting,pager duty|pagerduty alerting|pagerduty oncall|pagerduty incidents
splunk,Splunk,monitoring_observability,log_management,splunk siem|splunk enterprise|splunk cloud|splunk queries
dynatrace,Dynatrace,monitoring_observability,apm,dynatrace apm|dynatrace monitoring|dynatrace observability|dt
tempo,Grafana Tempo,monitoring_observability,tracing,grafana tempo|tempo tracing|tempo distributed tracing
fluentd,Fluentd,monitoring_observability,log_management,fluentd logging|fluentd aggregator|td-agent|fluentbit
apache_kafka,Apache Kafka,message_queues,streaming,kafka|kafka streaming|kafka topics|kafka broker|confluent kafka|kafka cluster
rabbitmq,RabbitMQ,message_queues,messaging,rabbit mq|rabbitmq broker|amqp|rabbitmq messaging|rabbitmq exchanges
celery,Celery,message_queues,task_queue,celery python|celery worker|celery beat|celery task queue|celery redis
redis_streams,Redis Streams,message_queues,streaming,redis stream|redis pub sub|redis messaging|redis pubsub
apache_pulsar,Apache Pulsar,message_queues,streaming,pulsar|pulsar messaging|apache pulsar streaming|pulsar topics
nats,NATS,message_queues,messaging,nats.io|nats messaging|nats streaming|nats server|nats jetstream
zeromq,ZeroMQ,message_queues,messaging,zmq|zero mq|0mq|zeromq library|zmq sockets
activemq,ActiveMQ,message_queues,messaging,active mq|apache activemq|activemq broker|activemq artemis
ibm_mq,IBM MQ,message_queues,messaging,ibm websphere mq|mq series|ibmmq|ibm message queue
tensorflow,TensorFlow,ai_ml_frameworks,deep_learning,tensorflow 2|tf|tensorflow python|tensorflow gpu|tf 2.x|keras tensorflow
pytorch,PyTorch,ai_ml_frameworks,deep_learning,torch|pytorch python|pytorch gpu|pytorch lightning|pt|pytorch 2
scikit_learn,scikit-learn,ai_ml_frameworks,machine_learning,sklearn|scikit learn|sklearn python|sk-learn|scikit learn python
keras,Keras,ai_ml_frameworks,deep_learning,keras python|keras tensorflow|keras api|tf.keras|keras functional
jax,JAX,ai_ml_frameworks,deep_learning,jax python|google jax|jaxlib|jax flax|jax numpy
huggingface,Hugging Face Transformers,ai_ml_frameworks,nlp,hugging face|hf transformers|transformers library|huggingface hub|transformers python|hf hub
langchain,LangChain,ai_ml_frameworks,llm_frameworks,lang chain|langchain python|langchain llm|langchain framework|langchain js
llamaindex,LlamaIndex,ai_ml_frameworks,llm_frameworks,llama index|llama-index|gpt index|llamaindex python|llama index python
openai_sdk,OpenAI API,ai_ml_frameworks,llm_frameworks,openai api|openai python|openai client|openai library|openai sdk|chatgpt api
anthropic_sdk,Anthropic API,ai_ml_frameworks,llm_frameworks,anthropic api|anthropic python|claude api|anthropic client|anthropic sdk
